"X" "Y" "Z" "Intensity"
5.758 1.695 1.608 67.000
nan nan nan nan
7.209 2.066 2.009 50.000
7.258 2.055 2.021 63.000
7.269 2.031 2.022 65.000
7.300 2.014 2.029 67.000
7.328 1.992 2.035 33.000
7.387 1.981 2.049 11.000
7.426 1.962 2.058 14.000
7.473 1.949 2.070 20.000
7.494 1.925 2.073 40.000
7.495 1.898 2.072 39.000
7.505 1.871 2.073 39.000
7.491 1.843 2.067 33.000
5.524 1.337 1.523 15.000
5.498 1.313 1.515 40.000
5.478 1.288 1.508 114.000
5.483 1.269 1.508 128.000
5.478 1.247 1.505 131.000
5.444 1.220 1.495 131.000
5.428 1.196 1.489 130.000
5.422 1.175 1.487 131.000
5.415 1.153 1.484 131.000
5.402 1.132 1.479 128.000
5.396 1.112 1.476 131.000
5.374 1.086 1.469 128.000
5.359 1.064 1.464 128.000
5.351 1.043 1.461 128.000
5.343 1.022 1.458 131.000
5.335 1.002 1.455 131.000
5.320 0.979 1.449 134.000
5.281 0.954 1.438 129.000
5.292 0.936 1.440 131.000
5.269 0.914 1.433 131.000
5.259 0.892 1.429 128.000
5.250 0.873 1.426 127.000
nan nan nan nan
3.600 0.573 0.977 12.000
3.579 0.556 0.971 10.000
3.556 0.540 0.964 26.000
3.541 0.525 0.959 45.000
3.533 0.512 0.957 105.000
3.489 0.493 0.944 105.000
3.324 0.459 0.899 11.000
3.297 0.443 0.891 5.000
3.312 0.434 0.895 7.000
3.302 0.420 0.892 6.000
3.311 0.410 0.894 5.000
3.322 0.400 0.897 5.000
3.329 0.389 0.898 5.000
3.325 0.376 0.897 7.000
nan nan nan nan
3.333 0.354 0.898 136.000
3.344 0.344 0.901 137.000
nan nan nan nan
3.336 0.320 0.898 7.000
3.334 0.307 0.897 6.000
3.346 0.297 0.900 6.000
3.351 0.285 0.901 5.000
3.360 0.274 0.903 5.000
3.355 0.262 0.902 5.000
nan nan nan nan
4.966 0.352 1.334 127.000
4.946 0.335 1.328 131.000
4.943 0.317 1.327 131.000
4.919 0.299 1.320 130.000
4.907 0.280 1.317 128.000
4.900 0.264 1.315 128.000
4.901 0.247 1.315 130.000
4.890 0.228 1.312 128.000
4.875 0.209 1.308 130.000
4.862 0.194 1.304 133.000
4.850 0.176 1.300 132.000
4.843 0.158 1.298 132.000
4.831 0.141 1.295 132.000
4.809 0.124 1.289 132.000
4.794 0.107 1.285 132.000
4.784 0.091 1.282 129.000
4.806 0.074 1.288 134.000
4.773 0.057 1.279 130.000
4.754 0.039 1.274 130.000
4.766 0.023 1.277 133.000
4.747 0.006 1.272 129.000
4.758 -0.009 1.275 133.000
4.739 -0.026 1.270 129.000
4.725 -0.042 1.266 128.000
4.709 -0.059 1.262 130.000
4.709 -0.075 1.262 130.000
4.701 -0.091 1.260 128.000
4.701 -0.107 1.260 128.000
4.685 -0.124 1.256 131.000
4.661 -0.138 1.250 132.000
4.661 -0.155 1.250 133.000
4.660 -0.171 1.250 63.000
4.646 -0.187 1.246 35.000
4.640 -0.202 1.244 38.000
4.647 -0.218 1.246 43.000
4.650 -0.236 1.248 114.000
4.639 -0.252 1.245 127.000
4.633 -0.268 1.243 128.000
4.624 -0.284 1.241 128.000
4.608 -0.297 1.237 128.000
4.603 -0.314 1.236 130.000
4.598 -0.328 1.235 128.000
4.589 -0.344 1.233 130.000
4.574 -0.359 1.229 127.000
4.565 -0.375 1.227 127.000
4.556 -0.391 1.225 127.000
4.551 -0.407 1.224 125.000
4.555 -0.422 1.226 128.000
4.532 -0.436 1.220 125.000
4.523 -0.450 1.218 125.000
4.518 -0.465 1.217 125.000
4.512 -0.480 1.216 127.000
4.511 -0.496 1.216 125.000
4.488 -0.510 1.210 124.000
4.480 -0.525 1.209 127.000
4.475 -0.539 1.208 125.000
4.473 -0.556 1.208 125.000
4.467 -0.569 1.207 125.000
4.452 -0.583 1.203 128.000
4.434 -0.597 1.199 128.000
4.432 -0.613 1.199 128.000
4.430 -0.628 1.199 128.000
4.424 -0.643 1.198 130.000
4.406 -0.655 1.194 128.000
4.396 -0.670 1.192 130.000
4.390 -0.684 1.191 131.000
4.384 -0.699 1.190 130.000
4.385 -0.714 1.191 130.000
4.369 -0.728 1.187 133.000
