"X","Y","Z","Intensity"
4.739,0.009,1.270,129.000
4.754,-0.007,1.274,131.000
4.737,-0.024,1.269,130.000
4.733,-0.040,1.268,129.000
4.715,-0.057,1.264,130.000
4.700,-0.072,1.259,130.000
4.699,-0.089,1.259,130.000
4.703,-0.105,1.260,128.000
4.687,-0.121,1.256,130.000
4.675,-0.136,1.253,131.000
4.657,-0.153,1.249,135.000
4.653,-0.168,1.248,116.000
4.650,-0.184,1.247,36.000
4.650,-0.201,1.247,38.000
4.641,-0.217,1.245,37.000
4.642,-0.232,1.245,112.000
4.651,-0.249,1.248,124.000
4.635,-0.265,1.244,128.000
4.632,-0.281,1.243,127.000
4.613,-0.297,1.239,130.000
4.605,-0.312,1.237,130.000
4.592,-0.326,1.234,130.000
4.591,-0.343,1.234,128.000
4.590,-0.356,1.234,130.000
4.563,-0.371,1.227,127.000
4.551,-0.386,1.224,127.000
4.555,-0.403,1.225,128.000
4.548,-0.416,1.224,127.000
4.542,-0.433,1.223,125.000
4.524,-0.446,1.218,124.000
4.509,-0.461,1.214,122.000
4.507,-0.478,1.214,122.000
4.507,-0.494,1.215,124.000
4.502,-0.507,1.214,124.000
4.486,-0.522,1.210,125.000
4.473,-0.536,1.207,127.000
4.467,-0.551,1.206,127.000
4.473,-0.567,1.208,125.000
4.461,-0.583,1.206,128.000
4.440,-0.594,1.200,130.000
4.427,-0.608,1.197,130.000
4.428,-0.626,1.198,128.000
4.422,-0.640,1.197,130.000
4.424,-0.656,1.198,130.000
4.403,-0.668,1.193,128.000
4.393,-0.681,1.191,131.000
4.383,-0.696,1.189,128.000
4.384,-0.711,1.190,131.000
4.380,-0.727,1.190,133.000
4.347,-0.736,1.181,127.000
4.353,-0.754,1.184,131.000
4.351,-0.768,1.184,131.000
4.323,-0.779,1.177,127.000
4.338,-0.795,1.182,131.000
4.320,-0.808,1.178,131.000
4.306,-0.821,1.175,130.000
4.307,-0.836,1.176,128.000
4.296,-0.851,1.173,130.000
4.293,-0.866,1.173,130.000
4.283,-0.878,1.171,130.000
4.264,-0.890,1.167,130.000
4.263,-0.906,1.168,127.000
4.254,-0.921,1.166,128.000
4.257,-0.934,1.168,127.000
4.240,-0.946,1.164,128.000
4.220,-0.958,1.160,127.000
4.220,-0.974,1.161,125.000
4.213,-0.987,1.160,122.000
4.189,-0.997,1.154,40.000
4.165,-1.007,1.148,39.000
4.150,-1.019,1.145,39.000
4.165,-1.038,1.150,117.000
4.146,-1.049,1.146,56.000
4.156,-1.066,1.150,54.000
4.158,-1.083,1.151,70.000
7.281,-1.922,2.018,115.000
7.250,-1.943,2.011,119.000
7.238,-1.964,2.009,118.000
7.238,-1.992,2.012,118.000
7.216,-2.012,2.007,121.000
7.195,-2.033,2.003,118.000
7.183,-2.058,2.002,115.000
7.172,-2.084,2.001,118.000
7.165,-2.106,2.001,109.000
7.143,-2.127,1.997,115.000
7.129,-2.148,1.995,112.000
7.121,-2.174,1.995,115.000
7.113,-2.199,1.995,118.000
7.102,-2.223,1.994,118.000
7.083,-2.244,1.991,112.000
7.071,-2.268,1.990,115.000
7.060,-2.291,1.989,112.000
7.052,-2.316,1.989,115.000
7.044,-2.340,1.989,112.000
7.020,-2.361,1.985,115.000
7.009,-2.382,1.984,112.000
6.991,-2.405,1.981,119.000
6.989,-2.430,1.983,118.000
6.978,-2.455,1.982,119.000
6.957,-2.473,1.978,118.000
6.941,-2.496,1.976,115.000
0,0,0,0
3.929,-1.444,1.122,68.000
3.932,-1.461,1.124,105.000
3.925,-1.474,1.123,128.000
3.905,-1.481,1.119,136.000
3.884,-1.489,1.114,133.000
3.882,-1.504,1.116,132.000
3.880,-1.519,1.117,132.000
3.864,-1.528,1.113,132.000
3.852,-1.539,1.111,132.000
3.848,-1.553,1.112,134.000
3.844,-1.567,1.112,132.000
3.842,-1.582,1.113,132.000
3.828,-1.592,1.111,134.000
3.824,-1.606,1.111,133.000
3.811,-1.616,1.109,133.000
3.813,-1.632,1.111,132.000
3.804,-1.644,1.110,133.000
3.797,-1.656,1.110,134.000
3.785,-1.667,1.108,132.000
3.748,-1.666,1.099,48.000
3.751,-1.683,1.102,129.000
3.755,-1.701,1.105,136.000
3.742,-1.712,1.103,138.000
3.727,-1.720,1.100,140.000
